ISO Survey Results (Part 2: Admin Respondents),,,,,,,
Functional Suitability,5,4,3,2,1,Mean
1. The system automatically records all rental transactions correctly.,,,,,, 
2. Financial reports (revenue totals) are accurate and update immediately.,,,,,, 
3. Report filters work correctly and show the right data for decision-making.,,,,,, 
4. I can easily monitor all rental activities and staff performance.,,,,,, 
Usability,5,4,3,2,1,Mean
5. The admin system is easy to use for managing business operations.,,,,,, 
6. Managing staff rides and sales is faster than manual methods.,,,,,, 
Reliability,5,4,3,2,1,Mean
7. The system prevents data errors through automatic calculations and validation.,,,,,, 
8. Activity logs show complete records of what staff members did and when.,,,,,, 
9. The system provides reliable data for making business decisions.,,,,,, 
Security,5,4,3,2,1,Mean
10. I can access all admin functions that staff cannot see.,,,,,, 
11. Staff are properly blocked from accessing admin features.,,,,,, 
Performance Efficiency,5,4,3,2,1,Mean
12. I can monitor boat availability and staff efficiency to improve customer service.,,,,,, 
Overall Satisfaction,5,4,3,2,1,Mean
13. Overall I am satisfied with the admin capabilities of the BRMS.,,,,,, 
14. I would recommend this system for boat rental business management.,,,,,,
